30.72	29	281	126	4121	96.38	0.493	-1.903	28.479	18.967	2.121	0.471	48.774	-122.483	4.061
21.2	71	19	18	1500	77.18	0.775	-1.301	23.922	12.029	1.165	0.858	48.496	-122.622	5.238
37.59	60	36	28	2121	56.12	0.813	-1.499	27.721	13.999	1.317	0.759	48.528	-122.236	5.639
34.11	23	84	42	3707	90.601	0.783	-1.606	23.905	15.359	1.293	0.773	48.51	-122.037	3.455
29.33	13	12	14	1500	90	0.73	-1.174	30.518	10.613	1.14	0.877	48.441	-122.325	4.582
13.93	67	148	74	3535	60.865	0.365	-1.819	24.074	17.658	1.716	0.583	48.117	-123.462	7.011
48.64	373	33	28	1707	148.473	0.478	-1.43	23.724	13.42	1.375	0.727	48.343	-122.045	0.876
23.86	56	120	58	4121	153.167	0.624	-1.729	21.039	16.801	1.494	0.669	48.237	-122.479	5.916
19.38	56	49	46	1500	28.198	0.262	-1.517	23.964	14.403	1.854	0.539	48.319	-122.66	5.696
34.68	87	19	18	1500	102.821	0.775	-1.259	26.985	11.422	1.165	0.858	48.286	-122.298	3.415
13.81	52	12	14	1500	90	0.73	-1.174	24.553	10.613	1.14	0.877	48.091	-123.164	7.387
20.49	30	24	20	1500	90	0.655	-1.468	23.277	13.368	1.152	0.868	48.028	-122.772	3.023
22.05	118	82	54	2121	96.65	0.633	-1.634	24.456	15.641	1.683	0.594	48.023	-122.483	2.174
48.78	706	28	24	1707	157.045	0.586	-1.391	30.708	12.875	1.28	0.781	48.897	-117.344	2.762
19.73	293	24	22	1500	90	0.356	-1.532	44.45	13.76	1.267	0.789	48.413	-119.516	2.93
35.98	495	50	32	2500	17.669	0.564	-1.518	35.339	14.423	1.277	0.783	48.602	-118.063	6.241
55.63	113	18	18	1500	0	0.478	-1.312	22.457	11.921	1.197	0.835	47.459	-124.127	0.593
53.28	66	16	16	1500	90	1	-1.323	19.09	11.919	1.129	0.886	47.369	-124.281	0.195
29.54	1017	23	22	1500	59.467	0.59	-1.425	33.993	12.934	1.294	0.773	48.368	-118.883	0.887
24.44	153	15	16	1500	90	0.577	-1.227	26.206	11.167	1.166	0.858	47.579	-122.871	0.614
42.53	528	18	18	1500	113.109	0.72	-1.312	23.432	11.921	1.197	0.835	47.421	-123.422	0.618
12.99	371	20	20	1500	163.881	0.549	-1.384	40.96	12.384	1.262	0.792	48.121	-119.746	0.84
26.56	643	27	24	1500	108.484	0.568	-1.593	32.851	14.294	1.303	0.767	48.57	-116.395	2.569
8.76	379	15	16	1500	90	0.577	-0.821	37.258	8.381	1.166	0.858	47.895	-120.143	4.172
11.01	899	23	20	1500	83.839	0.653	-1.4	30.692	12.897	1.177	0.85	47.783	-120.689	2.103
28.48	538	12	14	1500	0	0.73	-1.148	35.177	10.272	1.14	0.877	48.299	-117.713	4.578
27.27	794	14	16	1500	135	0.742	-1.143	32.198	10.643	1.207	0.829	48.487	-115.882	2.507
37.07	128	80	56	2500	122.949	0.266	-1.655	24.553	15.78	1.767	0.566	47.538	-121.852	5.407
13.22	719	39	26	2500	111.788	0.788	-1.605	34.459	14.787	1.175	0.851	47.723	-120.436	0.201
