4.061	30.72	29	281	126	4121	96.38	0.493	-1.903	18.967	2.121	0.471	48.774	-122.483	28.479
5.238	21.2	71	19	18	1500	77.18	0.775	-1.301	12.029	1.165	0.858	48.496	-122.622	23.922
5.639	37.59	60	36	28	2121	56.12	0.813	-1.499	13.999	1.317	0.759	48.528	-122.236	27.721
3.455	34.11	23	84	42	3707	90.601	0.783	-1.606	15.359	1.293	0.773	48.51	-122.037	23.905
4.582	29.33	13	12	14	1500	90	0.73	-1.174	10.613	1.14	0.877	48.441	-122.325	30.518
7.011	13.93	67	148	74	3535	60.865	0.365	-1.819	17.658	1.716	0.583	48.117	-123.462	24.074
0.876	48.64	373	33	28	1707	148.473	0.478	-1.43	13.42	1.375	0.727	48.343	-122.045	23.724
5.916	23.86	56	120	58	4121	153.167	0.624	-1.729	16.801	1.494	0.669	48.237	-122.479	21.039
5.696	19.38	56	49	46	1500	28.198	0.262	-1.517	14.403	1.854	0.539	48.319	-122.66	23.964
3.415	34.68	87	19	18	1500	102.821	0.775	-1.259	11.422	1.165	0.858	48.286	-122.298	26.985
7.387	13.81	52	12	14	1500	90	0.73	-1.174	10.613	1.14	0.877	48.091	-123.164	24.553
3.023	20.49	30	24	20	1500	90	0.655	-1.468	13.368	1.152	0.868	48.028	-122.772	23.277
2.174	22.05	118	82	54	2121	96.65	0.633	-1.634	15.641	1.683	0.594	48.023	-122.483	24.456
2.762	48.78	706	28	24	1707	157.045	0.586	-1.391	12.875	1.28	0.781	48.897	-117.344	30.708
2.93	19.73	293	24	22	1500	90	0.356	-1.532	13.76	1.267	0.789	48.413	-119.516	44.45
6.241	35.98	495	50	32	2500	17.669	0.564	-1.518	14.423	1.277	0.783	48.602	-118.063	35.339
0.593	55.63	113	18	18	1500	0	0.478	-1.312	11.921	1.197	0.835	47.459	-124.127	22.457
0.195	53.28	66	16	16	1500	90	1	-1.323	11.919	1.129	0.886	47.369	-124.281	19.09
0.887	29.54	1017	23	22	1500	59.467	0.59	-1.425	12.934	1.294	0.773	48.368	-118.883	33.993
0.614	24.44	153	15	16	1500	90	0.577	-1.227	11.167	1.166	0.858	47.579	-122.871	26.206
0.618	42.53	528	18	18	1500	113.109	0.72	-1.312	11.921	1.197	0.835	47.421	-123.422	23.432
0.84	12.99	371	20	20	1500	163.881	0.549	-1.384	12.384	1.262	0.792	48.121	-119.746	40.96
2.569	26.56	643	27	24	1500	108.484	0.568	-1.593	14.294	1.303	0.767	48.57	-116.395	32.851
4.172	8.76	379	15	16	1500	90	0.577	-0.821	8.381	1.166	0.858	47.895	-120.143	37.258
2.103	11.01	899	23	20	1500	83.839	0.653	-1.4	12.897	1.177	0.85	47.783	-120.689	30.692
4.578	28.48	538	12	14	1500	0	0.73	-1.148	10.272	1.14	0.877	48.299	-117.713	35.177
2.507	27.27	794	14	16	1500	135	0.742	-1.143	10.643	1.207	0.829	48.487	-115.882	32.198
